orden,rama,ocupacion,tareas,tecno
19800,"DOCENCIA UNIVERSITARIA DURANTE 28 AÑOS, JUBILADA",DOCENTE EN EDUCACION ESPECIAL NIVEL UNIVERSITARIO,"DAR CLASES, CORREGIR, CLASES DE CONSULTA, DOCENCIA E INVESTIGACION","LIBROS, TIZAS, BORRADOR, CUADERNO, HOJAS"
19811,COMERCIANTE,COMERCIANTE,"ATENCION AL PUBLICO, CAJA, COMPRA DE MERCADERIAS","CALCULADORA, BALANZA, CAJA REGISTRADORA"
19812,DISEÑO DE PAGINAS WEB Y GRAFICOS,DESARROLLADOR WEB,"MANEJO DE SOFTWARE, TAREAS DE DISEÑO Y PROGRAMACION, SOPORTE TECNICO","INTERNET, COMPUTADORA, TELEFONO"
19837,ALBAÑILERIA,OFICIAL ALBAÑIL,"CONSTRUCCION DE PARED, PISOS","BALDE, PALA, MATERIALES DE CONSTRUCCION"
19843,"OBRA, CONSTRUCCION",PEON ALBAÑIL,"MEZCLA, PEON DE ALBAÑIL","PALA, MEZCLADORA"
19844,GERIATRICO,"ATENCION DE PERSONAS MAYORES, EMPLEADA DE LIMPIEZA","ATENCION MEDICA DE PERSONAS MAYORES, ACTIVIDADES DE LIMPIEZA",ARTICULOS DE LIMPIEZA E HIGIENE
19845,EMPRESA DE CEREALES,JORNALERO,"DESCARGA DE BOLSAS, DESCARGA DE CAMIONES",NINGUNA
19849,"UATRE, OFICIOS VARIOS",OFICIO VARIOS,"BOLSA, DESCARGA DE GRANOS, FERTILIZANTES","BOLSAS, HIDRAULICA, HOMBRO"
19860,EDUCACION SUPERIOR,"COORDINADORA, NIVEL SUPERIOR, DOCENTE","ACOMPAÑAMIENTO PEDAGOGICO, COORDINADORA, DICTA CLASES","PC, MONOCAÑON, PIZARRON"
19863,CASA DE FAMILIA,SIRVIENTA,"LAVADO DE PISOS, PLANCHADO, ACTIVIDADES DE LIMPIEZA","ELEMENTOS DE LIMPIEZA, LAS MANOS, PLANCHA"
19866,COMERCIO,VENTA DE ROPA,VENTA DE ROPA,CAJA REGISTRADORA
19869,RECEPCIONISTA EN HOTEL,CONSERJE DE HOTEL,ACTIVIDADES DE RECEPCION DEL HOTEL,NINGUNO
19887,"CUIDADO DE PERSONA MAYOR, GERIATRICO","SERVICIO DOMESTICO, ENFERMERA","LIMPIEZA DEL LUGAR, ATENCION DE PERSONAS MAYORES",EQUIPOS DE LIMPIEZA
19888,"CUIDADO DE SEÑORA MAYOR, BOLICHE",CAJERA,"CUIDADO DE PERSONA MAYOR, ATENCION DE CAJA DE BOLICHE",
19903,PANADERIA,ATENCION AL PUBLICO,ATENDER AL PUBLICO,
19904,FARMACIA,ATENCION AL PUBLICO,"ATENCION AL PUBLICO, FACTURACION DE RECETAS",NINGUNO
19905,MOVIMIENTOS TERRESTRES,NS,"CONTROLA MAQUINAS VIALES, MOVIMIENTOS TERRESTRES","HERRAMIENTAS DE MANO, ELECTRICAS"
19909,CORTE DE LADRILLO,LADRILLERO,CORTE DE LADRILLO,MANO
19911,MINISTERIO DE DESARROLLO SOCIAL PROVINCIAL,DISEÑADOR,DISEÑO DE MATERIALES GRAFICOS,"COMPUTADORA, CAMARA DE FOTOS"
19912,"NEGOCIO, CARNICERIA",CARNICERO,"VENTA DE CARNE, CORTES DE CARNE","SIERRA, CUCHILLA, HELADERA"
19920,DEPOSITO DE QUESOS Y FIAMBRES,COMERCIANTE DE QUESOS Y FIAMBRES,COMPRAR Y GUARDAR QUESOS Y FIAMBRES,"ESTANTERIAS, GANCHOS"
19921,ALBAÑILERIA,ALBAÑIL,"MEZCLA, CONSTRUCCION DE VIVIENDAS",CUCHARA
19925,ALBAÑILERIA,ALBAÑIL,ACTIVIDADES DE ALBAÑIL,HERRAMIENTAS PARA LA CONSTRUCCION
19926,TRABAJADOR DE LA ELECTRICIDAD,ELECTRICISTA,"ARREGLOS VARIOS DE ELECTRICIDAD, INSTALACIONES ELECTRICAS","TALADRO, MAQUINA DE AGUJEREAR, SOLDADORA"
19940,"COSTURA PARTICULAR, CLASES PARTICULARES","COSTURERA, CLASES PARTICULARES",ARREGLOS Y FABRICACION TEXTIL Y APOYO ESCOLAR,"MAQUINA DE COSER, TELA, TIJERA"
19945,MUNICIPALIDAD,ADMINISTRATIVA,PRESUPUESTOS,"COMPUTADORA, PAPELES, ARTICULOS DE OFICINA"
19956,EDUCATIVO Y AGROPECUARIO,DOCENTE Y VETERINARIO,TAREAS DE INSEMINACION Y DOCENTE,"INSTRUMENTAL VETERINARIO, HERRAMIENTAS"
19963,ALBAÑIL,ALBAÑIL,"CONSTRUCCION, ARREGLOS VARIOS DE HOGARES","BALDE, PINCELETAS, CUCHARA"
19977,ALMACEN,COMERCIANTE,ATENCION AL PUBLICO,"BALANZA, MOSTRADOR, CORTADORA, HELADERAS"
19984,BAR,MOZO,ATENCION AL PUBLICO,BANDEJA
19992,ATENCION PERSONAS MAYORES,GERIATRICO,ATENCION DE PERSONAS MAYORES,NINGUNA
19998,FRIGORIFICO,EMPLEADO,PLAYA DE FAENA,CUCHILLO
19999,SERVICIO DOMESTICOS,EMPLEADA DOMESTICA,LIMPIEZA,ARTICULOS DE LIMPIEZA
20005,FRIGORIFICO,TRABAJADOR DE FRIGORIFICO,"PLANTA DE FAENA, SUPERVISION, GREMIALISTA",CUCHILLO
20022,DISTRIBUIDORA DE ALIMENTOS,FLETERO,CONDUCCION Y ENTREGA DE PRODUCTOS,CAMION
20024,EMBOLSADO DE PIEDRA PARA GATOS,EMPLEADO,EMBOLSADO,NO SABE
20026,9801,EMPLEADA DOMESTICA,LIMPIEZA DEL HOGAR,NINGUNA
20027,AGRICULTOR,AGRICULTOR,COSECHA Y SIEMBRA DE CEREALES,"MAQUINARIAS COSECHADORAS, TRACTOR, SEMBRADORA"
20033,GANADERIA,EMPLEADO RURAL,"COMIDA PARA ANIMALES, VACUNAS","VEHICULO, TRACTOR, MIXER, ACOPLADO"
20042,"COMERCIANTE, KIOSCO, DESPENSA",COMERCIANTE,"ATENCION AL PUBLICO, ATENCION A PROVEEDORES, MANTENIMIENTO",CORTADORA DE FIAMBRE
20045,HOSPITAL DE ROSARIO,MEDICO,"ATENCION DE LA SALUD, OPERACIONES",EQUIPOS MEDICOS
20061,DOCENTE NIVEL PRIMARIO EN ESCUELA PUBLICA,DOCENTE DE NIVEL PRIMARIO,IMPARTIA CONOCIMIENTOS A NIÑOS EN ESCUELA PRIMARIA,MATERIAL DIDACTICO
20071,MANEJA UN TRANSPORTE,TRANSPORTISTA,TRANSPORTA ENCOMIENDAS A DISTINTAS LOCALIDADES,"CAMIONETA, PLANILLAS"
20072,CUIDADO DE PERSONA MAYOR,CUIDADO DE PERSONA MAYOR,ASISTIA A UNA PERSONA MAYOR CON DIFICULTADES PARA MOVERSE,NO UTILIZABA
20079,CONTRATISTA,CONTRATISTA RURAL,ADMINISTRA SERVICIO AGRONOMICOS,
20090,SUPERVISOR EN EMPRESA AVICOLA,SUPERVISOR,CONTROL DE STOCK,NS/NR
20102,ENFERMERA,ENFERMERA,"COLOCAR INYECCIONES, TOMAR PRESION, ENEMAS","TENSIOMETRO, TERMOMETRO, INYECCION, RELOJ"
20104,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,LIMPIEZA DE HOGARES,"LAMPAZO, BALDE, ESCOBA"
20114,MILITAR ADMINISTRATIVO EN AVIACION,,"COMPUTADORA, IMPRESORA, FOTOCOPIADORA",
20118,EMPLEADO DE COMERCIO,COMERCIANTE,VENTAS Y COMERCIALIZACION,"PLANILLAS, CALCULADORA"
20133,"EN LA CASA DE LA MADRE, CUIDAR NIÑOS",NIÑERA,CUIDA AL HERMANO,JUGUETES
20146,DESPENSA,"COMERCIANTE, VENDEDORA",VENDER PRODUCTOS DE DESPENSA,"PAPEL, BALANZA"
20160,"NEGOCIO PARTICULAR, KIOSCO QUINIELA",COMERCIANTE,"VENTA DE JUEGOS DE AZAR, GOLOSINAS, ARTICULOS DE KIOSCO","COMPUTADORA, MAQUINAS"
20164,INSTITUCION ESCOLAR,MAESTRA DE ESCUELA PRIMARIA,ENSEÑAR A LOS CHICOS,"LIBROS, CUADERNOS, LAPICES"
20182,"SANATORIO PRIVADO, ATENCION MEDICA EN ENFERMERIA",ENFERMERIA,"ASISTIR Y CUIDAR ENFERMOS, COLOCACION DE INYECCIONES, TOMA LA PRESION","AGUJAS. JERINGAS, ALGODON, VENDAS, BOTIQUIN"
20189,EPE,"ADMINISTRATIVA, ATENCION AL CLIENTE","EVALUAR DUDAS, INCONVENIENTES, DIRECCIONAR AL PUBLICO EN GENERAL","ESCRITORIO, LAPICERA"
20195,ZAPATERIA DE DAMAS,"COMERCIANTE, VENDEDOR DE ZAPATOS",VENDER ZAPATOS,"ZAPATOS, ELEMENTOS PARA LUSTRAR"
20197,HOSPITAL PUBLICO SAYAGO,ENFERMERIA,"INYECCIONES, VACUNACION, CUIDADO DE ENFERMOS","JERINGAS, TERMOMETRO, AGUJAS, ALGODON"
20198,"NEGOCIO, DESPENSA",AYUDANTE DEL NEGOCIO FAMILIAR,VENTA Y REPOSICION DE MERCADERIA,"LAPICERA, CAJA REGISTRADORA"
20199,MINISTERIO DE SEGURIDAD DE PCIA DE STA FE,GUARDIACARCEL,VIGILANCIA,NO TIENE IDEA
20203,"TRABAJOS DE MANTENIMIENTO, JORNALERO INDEPENDIENTE","JORNALERO, PINTAR, ARREGLAR UN CAÑO, ALBAÑIL","PINTAR, ARREGLAR CAÑOS, ALBAÑIL","BROCHAS, BALDES, HERRAMIENTAS"
20211,JARDIN DE INFANTES PRIVADO,MAESTRA JARDINERA DE CHICOS PEQUEÑOS,CUIDAR Y ENSEÑAR A LOS CHICOS,"LIBROS, JUGUETES"
20217,CONSTRUCCION,"CONSTRUCCION, LEVANTA PAREDES, ALBAÑILERIA","CONSTRUYE CASAS, LEVANTA PAREDES","CUCHARA, BALDE"
20232,VIALIDAD DE LA PROVINCIA,SERENO,CUIDADO DE MAQUINARIAS,NINGUNA
20240,HOTEL,AYUDANTE DE COCINA,"LAVAR LOS PLATOS, COCINAR","CUCHILLOS, OLLAS, PELAPAPAS"
20242,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,LIMPIA Y ORDENA UNA CASA DE FAMILIA,PRODUCTOS DE LIMPIEZA
20261,"JORNALERO, ALBAÑIL",ALBAÑIL,CONSTRUYE CASAS,"BALDE, PALA, CEMENTO, LADRILLO"
20266,"TRABAJADOR INDEPENDIENTE DE EMPRESA PRIVADA DONDE SE JUBILO, EMPRESA DE CONSTRUCCION, CASAS PREMOLDEADAS","JORNALERO, ALBAÑIL",ARMADURAS DE HIERROS PARA EMPRESAS DE CONSTRUCCION,"TARRAJA, LLAVES, CORTA FIERROS, PALA"
20275,SERVICIO SOCIALES,EMPLEADA ADMINISTRATIVA,ADMINISTRATIVA Y DE CONTROL DE PERSONAL,"PC, TELEFONO, MAQUINA DE SUMAR"
20280,FORRAJERIA,COMERCIANTE EN ESTABLECIMIENTO PROPIO,"LIMPIEZA, ATENCION AL PUBLICO, COBRANZAS, PAPELEO","BALANZA, CAJA REGISTRADORA, PC, TELEFONO"
20305,LAVADO DE AUTOS,EMPLEADO DE LAVADERO DE AUTOS,LIMPIEZA DE VEHICULOS,"HIDROLAVADORA, ASPIRADORA"
20308,GOMERIA,"EMPLEADO, GOMERO","REPARACION, EMPARCHADO, CAMBIO DE NEUMATICOS","GATO, HERRAMIENTAS DE MANO"
20309,CASA DE FAMILIA,EMPLEADA DOMESTICA,"LIMPIEZA, ORDEN, COCINA EN CASA DE FAMILIA",ELEMENTOS DE LIMPIEZA
20316,CONSTRUCCION,PEON DE ALBAÑIL,"PREPARA LA MEZCLA, CAVA, TRANSPORTA COSAS","PALA, BALDE, HORMIGONERA"
20361,TRANSPORTE DE CARGAS VARIAS,FLETERO,CARGA Y TRANSPORTE DE MUEBLES Y DEMAS,"CAMIONETA, CARRO"
20368,VERDULERIA,,"CONTROL DE EMPLEADOS, COMPRAS, PAGOS","PC, TELEFONO, VEHICULO"
20378,CONSTRUCCION,ALBAÑIL,"HACE MEZCLA, LEVANTA PAREDES, PONE PISOS","HORMIGONERA, PALA, FRATACHO"
20379,VENTA AL POR MENOR,REPOSTERA,ORDENA MERCADERIA,CARRO
20381,CARPINTERIA,CARPINTERIA,FABRICA JUGUETES DE MADERA,"SIERRA, CLAVOS, REGLA, MARTILLO"
20397,PSICOLOGIA,PSICOLOGA,TRABAJAR CON PACIENTES,"MATERIALES DE OFICINA, LIBROS"
20399,COMERCIANTE VIAJANTE,VIAJANTE,"COMERCIO, VENTAS",AUTO
20404,CAMPO,AGRICULTOR,CULTIVOS Y COSECHAS,TRACTOR
20417,OFICINA CONTABLE,ASESOR Y ADMINISTRADOR DE CAMPOS E INVERSIONES,ADMINISTRACION CONTABLE,MATERIALES DE OFICINA
20418,PLAYA DE ESTACIONAMIENTO Y ESTACION DE SERVICIO,"EMPLEADA EN ESTACION DE SERVICIO, PLAYERA",CARGA COMBUSTIBLE,MAQUINA DE COMBUSTIBLE
20423,"CASA PARTICULAR, EMPLEADA DOMESTICA",EMPLEADA DOMESTICA,LIMPIEZA,ARTICULOS DE LIMPIEZA
20431,FABRICA DE JAULAS,"ARTESANO, HERRERO",FABRICA JAULAS DE PAJAROS,"SOLDADORA, GUILLOTINA"
20434,9801,SERVICIO DOMESTICO,"PLANCHABA, LIMPIABA HOGAR, CUIDABA CHICOS",ELEMENTOS DE LIMPIEZA Y DE COCINA
20437,PRODUCCION AGROPECUARIA,"PRODUCTOR AGROPECUARIO, LECHERIA Y AGRICULTURA",ADMINISTRACION DE LOS RECURSOS DEL CAMPO,VARIOS
20440,METALURGICO,MODELISTA,HACE MODELOS PARA FUNDICION,"SIERRAS, CALIBRES, TORNOS"
20463,MECANICA E INSTALACION DE GNC,ADMINISTRACION DEL EMPRENDIMIENTO,TAREAS ADMINISTRATIVAS DE LA EMPRESA,COMPUTADORA Y PAPELERIA DE OFICINA
20465,"ADMINISTRACION DE EMPRESA, ASESOR",ADMINISTRACION EN FORMA INDEPENDIENTE,"ADMINISTRACION DE EMPRESAS, SS.A EMPRESAS INDEPENDIENTES","PC, PAPELES DE OFICINA"
20471,"GASTRONOMIA EN RESTAURANTE, BAR",COCINERA,"COCINA EN RESTAURANTE, BAR",UTILES DE COCINA
20482,MAQUILLAJE SOCIAL,MAQUILLADORA,"MAQUILLA PERSONAS PARA EVENTOS, CUMPLEAÑOS, FIESTAS","PINCELES, RUBOR, RIMMEL, TAPAOJERAS"
20497,"UNION OBREROS METALURGICOS, EMPLEADA DE GUARDIA MEDICA",EMPLEADA DE GUARDIA,"ATENCION AL PUBLICO, TRAMITES",COMPUTADORA
20502,VIDRIERIA,COLOCA VIDRIOS,"CORTA VIDRIOS, COLOCA VIDRIOS EN VENTANAS","CORTADOR DE VIDRIOS, REGLA, MESA"
20507,LENCERIA,"COMERCIANTE, ATENCION AL PUBLICO EN MOSTRADOR","ATIENDE CLIENTES, MUESTRA CATALOGOS, COBRA","COMPUTADORA, MOSTRADOR, CATALOGOS"
20511,"PODER JUDICIAL, BIBLIOTECA",BIBLIOTECARIO,"BUSCA LIBROS, REGISTRA PRESTAMOS, ORDENA LIBROS","COMPUTADORA, LIBROS"
20513,DISEÑO GRAFICO,DISEÑADOR GRAFICO Y COMERCIANTE,"DISEÑO, POST, IMPRESIONES","MAQUINA DE TROQUELAR, GUILLOTINA"
20514,DISEÑO GRAFICO,DISEÑADORA GRAFICA Y COMERCIANTE,"VENTAS, ATENCION AL PUBLICO","MOSTRADOR, COMPUTADORA"
20529,"SEGURIDAD, COMISARIA",POLICIA,"CONTROL DE PERSONAL, TAREAS ADMINISTRATIVAS","COMPUTADORA, REGLAMENTOS"
20530,CPC,INSPECTOR,TAREAS ADMINISTRATIVAS,COMPUTADORA
20536,PUERTO,ADMINISTRATIVA,"CUANDO ENTRABAN LOS AUTOS REGISTRABA EL INGRESO, REVISAR PAPELES, PEDIRLES LO QUE FALTA","COMPUTADORA, PLANILLAS DE REGISTRO, LAPICERA"
20547,ESTACIONAMIENTO DE UN COMERCIO,PARQUERO,"ESTACIONA AUTOS, REGISTRA INGRESOS Y EGRESOS",PLANILLA DE REGISTRO
20550,"HERRERIA, TAREAS DE CONSTRUCCION Y MANTENIMIENTO DEL HOGAR","SOLDADOR, HERRERO","ARREGLA PORTONES DE METAL, CONSTRUYE MARCOS DE VENTANAS","SOLDADORA, MAQUINA AGUJEREADORA, MARTILLO"
20555,REMISERIA,CHOFER,"MANEJA AUTO, TRASLADO DE PERSONAS",AUTO
20559,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,"BALDEA, LIMPIA VIDRIOS, LAVA ROPA","BALDE, LAVARROPA, TRAPO"
20560,CONSTRUCCION,AYUDANTE DE ALBAÑIL,"LEVANTA PAREDES, PREPARA MEZCLA DE CEMENTO","CUCHARA, BALDE, NIVELADOR, ESPATULA"
20565,FABRICA QUIMICA,OPERARIO,MANTENIMIENTO EN LA COCCION DE CERVEZA,"PALA, LLAVE, BALDES"
20589,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,LIMPIEZA DE HOGAR,ELEMENTOS DE LIMPIEZA
20602,"CONTROL CIVIL Y VEHICULAR, POLICIA DE LA PROVINCIA",SUBOFICIAL DE LA PROVINCIA DE LA CIUDAD DE SANTA FE,VIGILANCIA DE LA CALLE EN LA CIUDAD DE SANTA FE,"CHALECO ANTIBALA, REGLAMENTARIA, RADIO, MOVIL, ESPOSAS, UNIFORME"
20603,VENTA DE ROPA,VENDEDORA DE ROPA,ATENCION AL PUBLICO,TICKETERA
20607,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,TAREAS DE LIMPIEZA,ELEMENTOS DE LIMPIEZA
20614,EMPRESA DE CARPINTERIA,CARPINTERO,CONSTRUCCION DE MUEBLES Y OBJETOS EN MADERA,"TUPI, CEPILLO, MAQUINA DE CORTAR Y PULIR"
20618,CUIDADO A DOMICILIO DE ANCIANOS Y DISCAPACITADOS,CUIDADO CAPACITADO DE ADULTOS Y DISCAPACITADOS EN 3 CASAS,"ESTAR CON EL ANCIANO, DARLE DE COMER, MEDICAMENTOS, CAMINATAS, ASEARLOS, DEDICARLE TIEMPO","UTENSILIOS DE COCINA, JABON, SHAMPOO"
20628,COLOCACION DE DURLOCK,DURLERO,COLOCA PLACAS,"TALADRO, ATORNILLADORA, CHOCLA, ESPATULA, CINTA METRICA"
20629,"ROTISERIA, ELABORA Y VENDE COMIDAS","COCINERA, ATIENDE AL PUBLICO Y COBRA","COCINA, ATENCION AL PUBLICO Y COBRA","HORNO, FREIDORA, HAMBURGUESERA, MAQUINA REGISTRADORA"
20632,INTERVIENE EN CUESTIONES DE DERECHO PENAL DONDE HAY MENORES,"ASISTENTE SOCIAL, AUXILIAR SOCIAL EN JUZGADO DE MENORES","SEGUIMIENTO DE SITUACIONES, INFORMES SOCIALES, CONTROL DE INSTITUCIONES","MAQUINA DE ESCRIBIR, COMPUTADORA,  HOJAS, LAPICERAS"
20645,CASA DE FAMILIA,PLANCHADO,PLANCHADO,"PLANCHA, TABLA DE PLANCHAR, ROCIADOR"
20654,SUPERMERCADO MULTIRRUBRO,CAJERA,COBRA EN EFECTIVO Y TARJETAS,"CAJA REGISTRADORA, POSNET"
20681,EMPRESA DE TRANSPORTE,EMPLEADO MECANICO DEL TALLER DE LA EMPRESA,ARREGLABAN Y REPARABAN MOTORES DE COLECTIVOS,"HERRAMIENTAS, SOPLETES, REPUESTOS"
20689,PLANTA ACOPIADORA DE CEREALES,"TRACTORISTA, CONDUCE UN TRACTOR",ALMACENAMIENTO DE GRANOS EN SILOBOLSA,"TRACTOR, BOLSA, PALA, CHIMANGO"
20693,"GERIATRICO, ESTABLECIMIENTO DE CUIDADO DE ANCIANOS",EMPLEADA DE ATENCION Y CUIDADO DE ANCIANOS,"CUIDADO DE ANCIANOS, COCINAR Y MANTENIMIENTO DE LIMPIEZA","ESCOBAS, LAMPAZO, BALDES, UTENSILIOS DE COCINA, CHATA, TELEFONO"
20701,"COMERCIO, VENTA DE ROPA, CALZADO, TELAS Y JUGUETES","AYUDANTE DE COMERCIANTE DE ROPA, CALZADO, TELAS Y JUGUETES","ATENCION AL PUBLICO, VENTA","TELEFONO, PAPEL, LAPICERA, CAJAS"
20705,"COMERCIO FAMILIAR, VENTA DE PRODUCTOS ALIMENTICIOS","COMERCIANTE, VENDEDOR DE PRODUCTOS ALIMENTICIOS","VENDE PRODUCTOS ALIMENTICIOS, MARCA PRECIOS","CALCULADORA, PAPELES, LAPICERA, BALANZA, MAQUINA REGISTRADORA"
20714,"COMERCIO, VENTA DE PRODUCTOS ALIMENTICIOS",EMPLEADO DE SUPERMERCADO,"ATENCION AL PUBLICO, VENTA","CALCULADORA, LAPICERA, PAPELES, CAJAS, CARROS"
20736,CONSTRUCCION,OFICIAL ALBAÑIL,"LEVANTA PAREDES, PREPARAR MEZCLA, LEE PLANOS","PALA, CUCHARA, FRATACHO, HORMIGONERA"
20737,ESCUELA PRIMARIA Y SECUNDARIA,PORTERA,LIMPIEZA DEL ESTABLECIMIENTO,"ARTICULOS DE LIMPIEZA, PALA, ESCOBA, SECADOR"
20764,"SERVICIO DE SALUD PUBLICA, PAMI",ENCARGADO AREA DE COMPRAS Y SUMINISTROS,ADMINISTRACION DE INSUMOS PARA EL HOSPITAL,"COMPUTADORA, BIROME, PAPEL"
20767,NEGOCIO DE VENTA DE MUEBLES,VENTA Y ATENCION AL PUBLICO,"VENTA Y ATENCION AL PUBLICO, PROVEEDORES, COSTURERA","CALCULADORA, HOJAS DE PRESUPUESTO, TELAS, MAQUINA DE COSER INDUSTRIAL"
20770,VENTA DE TELAS,"VENDEDOR, ATENCION AL CLIENTE",VENTA DE TELAS,TIJERAS
20771,FABRICA DE ROPA,COORDINADORA DE PRODUCCION,"HABLAR CON CLIENTES, Y TAREAS INTERNAS DEL CIRCULO PRODUCTIVO","COMPUTADORA, TELEFONO"
20773,9801,CUIDADO DE ADULTO MAYOR,ACOMPAÑAMIENTO Y CUIDADO DE ADULTO MAYOR,UTENSILIOS DE COCINA
20774,COMERCIALIZACION DE CARBON,REPARTIDOR DE CARBON,REPARTE BOLSAS DE CARBON,CAMIONETA
20786,GESTORIA,GESTORA,PRESENTACION Y RETIRO DE TRAMITES,"FORMULARIOS, SELLOS"
20787,CASA DE COMIDAS RAPIDAS,SUPERVISORA,SUPERVISION DEL PERSONAL,COMPUTADORA
20802,VENTA DE PAPAS,ESTIBADOR,CARGA Y DESCARGA DE BOLSAS DE PAPAS,
20803,VENTA DE FRUTAS Y VERDURAS,VERDULERA,ATENCION AL PUBLICO,
20814,ABASTECIMIENTO DE GAS NATURAL A LOS HOGARES,CHOFER,TRANSPORTA A LOS OPERARIOS Y MATERIALES,CAMION
20824,9801,EMPLEADA DOMESTICA,LIMPIEZA DE PISOS Y MUEBLES,"ESCOBA, TRAPO, BALDE, PALA"
20825,CARPINTERIA,MAQUINISTA,MANEJA UN SHALE,"SHALE, PROTECTOR AUDITIVO, GUANTES"
20835,ASTILLERO,AYUDANTE DE SOLDADOR,SUELDA Y CORTA CHAPA,"SOLDADORA, MOLADORA, SOPORTE"
20839,LIMPIEZA,BARRENDERA,LIMPIABA LAS CALLES,"ESCOBA, RASTRILLO, BOLSAS, GUANTES"
20848,COMERCIO,DUEÑA DE COMERCIO,"ATIENDE, ACOMODA LA MERCADERIA, HACE PEDIDOS","BALANZA, HELADERA, FREEZER, ESTANTERIA"
20851,FRIGORIFICO,CAMARERO,MANEJA EN MONTACARGA,"MONTACARGA, GUANTES, CASCO, TAPONES"
20852,9802,EMPLEADA DOMESTICA,LIMPIEZA,"ESCOBA, SECADOR, TRAPO DE PISO"
20858,9801,EMPLEADA DOMESTICA,LIMPIEZA DE PISOS Y MUEBLES,"ESCOBA, BALDE, TRAPO DE PISO, PALA"
20859,CONSTRUCCION,AYUDANTE,PASTINA LAS PAREDES,"CORTADORA, MASA, HORMIGONERA"
20860,CONSTRUCCION,ALBAÑIL,"PREPARA EL CEMENTO, COLOCA LADRILLOS","PALA, CUCHARA, LADRILLOS, HORMIGONERA"
20891,CASA DE FAMILIA,AYUDANTE DE COSTURA,"COSTURA PARA AFUERA, ARMABA, PERFILABA A MANO Y A MAQUINA",MAQUINA DE COSER ELECTRICA
20892,9803,EMPLEADA DOMESTICA,LIMPIABA CASAS,ARTICULOS DE LIMPIEZA
20898,GERIATRICO,ENFERMERIA,PREPARA MEDICAMENTOS,MANUAL
20905,9803,EMPLEADA DOMESTICA,LIMPIEZA,ARTICULOS DE LIMPIEZA
20906,OBRAS DE CONSTRUCCION,AYUDANTE DE ALBAÑIL,,"MARTILLO, MASA, BALDE, PALA, HORMIGONERA"
20908,RESTAURANTE,BACHERO,LAVABA LOS PLATOS Y AYUDANTE DE COCINA,"CUCHILLOS, SARTENES"
20910,CHANGARIN,PINTOR,PINTA PAREDES,"BROCHA, MAQUINA PARA PINTAR"
20917,CERRAJERO,CERRAJERO,HACE LLAVES Y CERRADURAS,MAQUINAS ESPECIFICAS PARA EL OFICIO.
20938,EMPRESA DE REPARACION E INSTALACION DE CALEFACTORES,CALEFACCIONISTA,INSTALACION Y REPARACION DE CALEFACTORES,"PINZA, LLAVES, DESTORNILLADOR, SOLDADORA"
20940,EDIFICIO DE VIVIENDAS,ADMINISTRADORA,TRAMITES DE EXPENSAS Y CONSORCIO,"COMPUTADORA, TELEFONO, CALCULADORA"
20942,"FISCALIA FEDERAL, MINISTERIO PUBLICO NACION",PROSECRETARIO DE FISCALIA,ANALIZA PROYECTOS DE ELEVACION A JUICIO Y DICTAMENES,"COMPUTADORA, LIBROS, ESCRITORIO"
20951,PRODUCCION DE SOFTWARE,ANALISTA DE SISTEMAS,CONFIGURA SISTEMAS PARA BANCOS,"NOTEBOOK, IPAD"
20960,9802,EMPLEADA DOMESTICA,LIMPIAR Y ORDENAR LA VIVIENDA,"ESCOBA, BALDE, TRAPO DE PISO, SECADOR, MANGUERAS"
20961,9802,EMPLEADA DOMESTICA,LIMPIAR Y ORDENAR LA VIVIENDA,"ESCOBA, BALDE, TRAPO DE PISO, SECADOR, MANGUERAS"
20962,CONSTRUCCION Y REFACCION DE VIVIENDAS,ALBAÑIL,"TAREAS DE CONSTRUCCION, REFACCION Y PINTURA DE VIVIENDAS","HORMIGONERA, CUCHARA, FRATACHO, ESCALERA, BALDE"
20963,VENTA DE ROPA USADA,"FERIANTE, VENDEDORA DE ROPA USADA EN FERIA DE BARRIO","CONSIGUE Y ELIGE ROPA, LA ARREGLA Y LUEGO LA VENDE","MAQUINA DE COSER, HILO, AGUJA"
20985,FABRICACION DE MAQUINAS PARA PANADERIA,AYUDANTE,"TAREAS DE SOLDADURA, ARMADO DE LAS MAQUINARIAS","SOLDADORA, AGUJEREADORA, MOLADORA, DESTORNILLADOR, MARTILLO"
20989,KIOSCO EN SU VIVIENDA,AYUDA EN LA LIMPIEZA DEL LOCAL Y A PREPARAR ALIMENTOS PARA LA VENTA,"LIMPIEZA DEL KIOSCO, CORTA EL POLLO Y LA CARNE PARA HACER MILANESAS, Y HORNEA LAS PIZZAS","ESCOBA, BALDE, PALA, SECADOR, PRODUCTOS DE LIMPIEZA, CUCHILLA, TABLA, HORNO PIZZERO"
21007,EMPRESA DE LA CONSTRUCCION,OPERARIO,DISTRIBUCION DE MATERIALES,"MOLADORA, LIJA"
21023,TRANSPORTE DE PASAJEROS,TAXISTA,CONDUCE AUTO,AUTO
21027,9801,,CUIDADO DE DOS NIÑOS,
21028,VENTA DE ROPA,ATENCION AL PUBLICO,ATIENDE A LOS CLIENTES Y VENDE DIFERENTES PRENDAS,
